strategy_id,strategy_base_id,strategy_name,strategy_base_name,strategy_kind,pool_id,pool_name,sample_start,sample_end,sample_tag,sample_label,sample_short_label,is_primary_sample,stock_count,base_weight_method,base_weight_name,core_source_mode,core_source_name,core_ratio,explore_ratio,pure_core_max_holdings,total_return,cagr,max_drawdown,annual_volatility,sharpe_ratio,monthly_win_rate,average_annual_turnover,cumulative_trading_cost
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.30231717,0.16402353,-0.24524899,0.24759239,0.69391123,0.53913043,4.57677256,0.12007713
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse10_1w_v25__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse10_1w_v25,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周10%稳定性边界v25) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周10%稳定性边界v25),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.27574019,0.16327298,-0.24689212,0.24773356,0.69095081,0.53913043,4.69090293,0.12266528
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse075_1w_v24__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse075_1w_v24,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周7.5%稳定性边界v24) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周7.5%稳定性边界v24),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.22325844,0.16177852,-0.24854584,0.24760304,0.68590085,0.54782609,4.80891120,0.12480097
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.59451624,0.15517759,-0.24364395,0.29369964,0.58223383,0.53164557,5.15259262,0.06285076
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse10_1w_v25__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse10_1w_v25,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周10%稳定性边界v25) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周10%稳定性边界v25),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.57666337,0.15397138,-0.24507756,0.29371471,0.57855640,0.53164557,5.26829679,0.06395253
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse075_1w_v24__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse075_1w_v24,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周7.5%稳定性边界v24) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周7.5%稳定性边界v24),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.54886441,0.15207896,-0.24652339,0.29352967,0.57304924,0.53164557,5.38747893,0.06488425
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse075_1w_v24__since_2023_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse075_1w_v24,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周7.5%稳定性边界v24) (2023-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周7.5%稳定性边界v24),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2023-01-01,2026-08-11,since_2023_01,2023-01 起,2023-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.83149957,0.18257908,-0.23050771,0.33376997,0.55392177,0.58139535,5.00333046,0.02480083
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse10_1w_v25__since_2023_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse10_1w_v25,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周10%稳定性边界v25) (2023-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周10%稳定性边界v25),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2023-01-01,2026-08-11,since_2023_01,2023-01 起,2023-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.82838856,0.18202206,-0.23367334,0.33387446,0.55256207,0.58139535,4.89453681,0.02423716
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26__since_2023_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26) (2023-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2023-01-01,2026-08-11,since_2023_01,2023-01 起,2023-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.82542819,0.18149138,-0.23683908,0.33401699,0.55125024,0.55813953,4.78917120,0.02369369
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26__since_2025_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse125_1w_v26,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26) (2025-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周12.5%稳定性边界v26),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2025-01-01,2026-08-11,since_2025_01,2025-01 起,2025-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.99737117,0.53799517,-0.20640591,0.46734958,0.97468434,0.57894737,5.99662723,0.01271323
