strategy_id,strategy_base_id,strategy_name,strategy_base_name,strategy_kind,pool_id,pool_name,sample_start,sample_end,sample_tag,sample_label,sample_short_label,is_primary_sample,stock_count,base_weight_method,base_weight_name,core_source_mode,core_source_name,core_ratio,explore_ratio,pure_core_max_holdings,total_return,cagr,max_drawdown,annual_volatility,sharpe_ratio,monthly_win_rate,average_annual_turnover,cumulative_trading_cost
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse60_1w_v10__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse60_1w_v10,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周60%深度边界v10) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周60%深度边界v10),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.95237206,0.18119814,-0.29464541,0.25460663,0.74213979,0.51304348,3.07565119,0.08423383
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_sparse35_v11__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_sparse35_v11,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌55%稀疏触发3.5%v11) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌55%稀疏触发3.5%v11),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.85825195,0.17884133,-0.31802756,0.25423896,0.73742206,0.52173913,2.93821012,0.07955551
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse50_1w_v9__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse50_1w_v9,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周50%深度边界v9) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周50%深度边界v9),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.81008285,0.17761928,-0.27697776,0.25044459,0.73728063,0.51304348,3.08050466,0.08369984
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_sensitive25_v12__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_sensitive25_v12,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌55%灵敏触发2.5%v12) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌55%灵敏触发2.5%v12),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.71611833,0.17520352,-0.28378790,0.25121174,0.72783511,0.52173913,3.17181969,0.08685338
core_explore_80_20_equal_weight_winner_core__aggr_08_92_prom6_cost_guard_cap46_hold5_turn04_exit94_risk14_weekly_return_recovery_v7_weekly__since_2017_01,core_explore_80_20_equal_weight_winner_core__aggr_08_92_prom6_cost_guard_cap46_hold5_turn04_exit94_risk14_weekly_return_recovery_v7_weekly,"核心80_探索20_等权底座_胜出者核心__进攻8/92 晋升6只(周频收益恢复v7, 熊市14%, 单票46%, 持有5周, 换手4%, 出场94%) (2017-01 起)","核心80_探索20_等权底座_胜出者核心__进攻8/92 晋升6只(周频收益恢复v7, 熊市14%, 单票46%, 持有5周, 换手4%, 出场94%)",core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,equal_weight,等权底座,winner_core,胜出者核心,0.80000000,0.20000000,0,2.14092416,0.12651883,-0.22222355,0.17004464,0.80216744,0.52342159,1.28706580,0.02917012
core_explore_80_20_equal_weight_winner_core__aggr_08_92_prom6_cost_guard_cap44_hold6_turn03_exit96_risk12_weekly_return_recovery_v6_weekly__since_2017_01,core_explore_80_20_equal_weight_winner_core__aggr_08_92_prom6_cost_guard_cap44_hold6_turn03_exit96_risk12_weekly_return_recovery_v6_weekly,"核心80_探索20_等权底座_胜出者核心__进攻8/92 晋升6只(周频收益恢复v6, 熊市12%, 单票44%, 持有6周, 换手3%, 出场96%) (2017-01 起)","核心80_探索20_等权底座_胜出者核心__进攻8/92 晋升6只(周频收益恢复v6, 熊市12%, 单票44%, 持有6周, 换手3%, 出场96%)",core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,equal_weight,等权底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.49844281,0.04299516,-0.20479711,0.10356219,0.46882369,0.51527495,0.74474363,0.01323358
core_explore_80_20_total_mv_winner_core__aggr_13_87_prom23_emergent_theme_quality_gate_signal29_leader78_coverage_penalty_risk04_cap04_exit72_capacity_v2__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_13_87_prom23_emergent_theme_quality_gate_signal29_leader78_coverage_penalty_risk04_cap04_exit72_capacity_v2,"核心80_探索20_总市值底座_胜出者核心__进攻13/87 晋升23只(强主题涌现容量v2, 信号29%, 龙头78%, 熊市4%, 单票4%, 出场72%) (2017-01 起)","核心80_探索20_总市值底座_胜出者核心__进攻13/87 晋升23只(强主题涌现容量v2, 信号29%, 龙头78%, 熊市4%, 单票4%, 出场72%)",core_explore,emergent_theme,Path4 新兴主题发现池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.71106572,0.05750057,-0.26230028,0.15392317,0.44495932,0.46086957,2.57615987,0.04740301
core_explore_80_20_total_mv_winner_core__aggr_13_87_prom23_emergent_theme_quality_gate_signal28_leader78_coverage_penalty_risk06_cap04_exit72_risk_control_v5__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_13_87_prom23_emergent_theme_quality_gate_signal28_leader78_coverage_penalty_risk06_cap04_exit72_risk_control_v5,"核心80_探索20_总市值底座_胜出者核心__进攻13/87 晋升23只(强主题涌现风险控制v5, 信号28%, 龙头78%, 熊市6%, 单票4%, 出场72%) (2017-01 起)","核心80_探索20_总市值底座_胜出者核心__进攻13/87 晋升23只(强主题涌现风险控制v5, 信号28%, 龙头78%, 熊市6%, 单票4%, 出场72%)",core_explore,emergent_theme,Path4 新兴主题发现池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.66225221,0.05431947,-0.27129244,0.15260028,0.42864012,0.46956522,2.58273330,0.04767034
core_explore_90_10_total_mv_winner_core__aggr_04_96_prom4_core_6_1_promo_liqmom_top10_risk20_mom_exit50_reconfirm97_caution54_cap16_cost_guard_v81_midcycle_lowturn_confirm__since_2017_01,core_explore_90_10_total_mv_winner_core__aggr_04_96_prom4_core_6_1_promo_liqmom_top10_risk20_mom_exit50_reconfirm97_caution54_cap16_cost_guard_v81_midcycle_lowturn_confirm,"核心90_探索10_总市值底座_胜出者核心__进攻4/96 晋升4只(中周期成长低换手, 量价前10%, 风险20%, 出场50%, 恢复97, 谨慎54%, 单票16%, v81确认) (2017-01 起)","核心90_探索10_总市值底座_胜出者核心__进攻4/96 晋升4只(中周期成长低换手, 量价前10%, 风险20%, 出场50%, 恢复97, 谨慎54%, 单票16%, v81确认)",core_explore,growth_elastic,Path2 高弹性赢家池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.90000000,0.10000000,0,1.49046349,0.09963511,-0.20225105,0.17823663,0.62944120,0.53913043,4.66025151,0.09552393
core_explore_90_10_total_mv_winner_core__aggr_04_96_prom4_core_6_1_promo_liqmom_top12_risk24_mom_exit48_reconfirm98_caution56_cap18_cost_guard_v82_2023_quality_repair__since_2017_01,core_explore_90_10_total_mv_winner_core__aggr_04_96_prom4_core_6_1_promo_liqmom_top12_risk24_mom_exit48_reconfirm98_caution56_cap18_cost_guard_v82_2023_quality_repair,"核心90_探索10_总市值底座_胜出者核心__进攻4/96 晋升4只(中周期成长质量修复, 量价前12%, 风险24%, 出场48%, 恢复98, 谨慎56%, 单票18%, v82) (2017-01 起)","核心90_探索10_总市值底座_胜出者核心__进攻4/96 晋升4只(中周期成长质量修复, 量价前12%, 风险24%, 出场48%, 恢复98, 谨慎56%, 单票18%, v82)",core_explore,growth_elastic,Path2 高弹性赢家池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.90000000,0.10000000,0,0.84222630,0.06566184,-0.21183712,0.15904070,0.48166161,0.53043478,4.43968484,0.08204281
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse60_1w_v10__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse60_1w_v10,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周60%深度边界v10) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周60%深度边界v10),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.98060925,0.17968124,-0.29086017,0.30051316,0.64912920,0.48101266,3.33288872,0.04478027
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_sparse35_v11__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse55_sparse35_v11,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌55%稀疏触发3.5%v11) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌55%稀疏触发3.5%v11),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.95210297,0.17796719,-0.31158507,0.29872214,0.64747900,0.50632911,3.21379492,0.04326215
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse50_1w_v9__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse50_1w_v9,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周50%深度边界v9) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周50%深度边界v9),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.84463241,0.17137615,-0.27199592,0.29614681,0.62921985,0.49367089,3.40207695,0.04429825
