strategy_id,strategy_base_id,strategy_name,strategy_base_name,strategy_kind,pool_id,pool_name,sample_start,sample_end,sample_tag,sample_label,sample_short_label,is_primary_sample,stock_count,base_weight_method,base_weight_name,core_source_mode,core_source_name,core_ratio,explore_ratio,pure_core_max_holdings,total_return,cagr,max_drawdown,annual_volatility,sharpe_ratio,monthly_win_rate,average_annual_turnover,cumulative_trading_cost
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse425_1w_v23__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse425_1w_v23,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周42.5%膝点v23) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周42.5%膝点v23),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.70262567,0.17485310,-0.26560188,0.24913111,0.72988159,0.52173913,3.27603204,0.08894369
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse375_1w_v22__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse375_1w_v22,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周37.5%膝点v22) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周37.5%膝点v22),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.65393097,0.17358090,-0.25801867,0.24896306,0.72551952,0.52173913,3.48144766,0.09423630
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse35_1w_v21__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse35_1w_v21,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周35%膝点v21) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周35%膝点v21),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.57512362,0.17149649,-0.25422727,0.24891123,0.71829319,0.52173913,3.59042541,0.09666139
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse325_1w_v20__since_2017_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse325_1w_v20,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周32.5%膝点v20) (2017-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周32.5%膝点v20),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2017-01-01,2026-08-11,since_2017_01,2017-01 起,2017-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,3.56763378,0.17129671,-0.25043602,0.24866600,0.71796136,0.52173913,3.69673245,0.09962787
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse425_1w_v23__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse425_1w_v23,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周42.5%膝点v23) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周42.5%膝点v23),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.80077919,0.16862583,-0.26071388,0.29538059,0.62153242,0.50632911,3.69253044,0.04753377
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse375_1w_v22__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse375_1w_v22,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周37.5%膝点v22) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周37.5%膝点v22),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.78825865,0.16783388,-0.25319322,0.29463490,0.61975666,0.51898734,3.93733149,0.05042192
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse35_1w_v21__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse35_1w_v21,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周35%膝点v21) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周35%膝点v21),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.74512095,0.16508201,-0.24943310,0.29472138,0.61142835,0.51898734,4.06434272,0.05156572
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse325_1w_v20__since_2020_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse325_1w_v20,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周32.5%膝点v20) (2020-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周32.5%膝点v20),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2020-01-01,2026-08-11,since_2020_01,2020-01 起,2020-01,True,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,1.72637117,0.16387446,-0.24567312,0.29447078,0.60801144,0.51898734,4.19502730,0.05298021
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse375_1w_v22__since_2023_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse375_1w_v22,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周37.5%膝点v22) (2023-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周37.5%膝点v22),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2023-01-01,2026-08-11,since_2023_01,2023-01 起,2023-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.79948306,0.17681360,-0.26850296,0.33664516,0.53947581,0.55813953,3.70931488,0.01827433
core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse325_1w_v20__since_2023_01,core_explore_80_20_total_mv_winner_core__aggr_05_95_prom7_risk20_port_fast_crash_pulse325_1w_v20,核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周32.5%膝点v20) (2023-01 起),核心80_探索20_总市值底座_胜出者核心__Path1稳健候选(快跌单周32.5%膝点v20),core_explore,core_explore_seed,Path1/3 核心-探索-种子共用池,2023-01-01,2026-08-11,since_2023_01,2023-01 起,2023-01,False,1708,total_mv,总市值底座,winner_core,胜出者核心,0.80000000,0.20000000,0,0.79630849,0.17623790,-0.26216925,0.33625088,0.53779206,0.55813953,3.94799381,0.01942408
